,country,pca1,pca2,pca3,pca4,pca5,cluster
0,Afghanistan,2.9868401706465213,-0.5384515331539381,0.5724675268837186,0.42071761321034407,-0.19165949113265351,Need help
1,Albania,-0.7022661838426323,-0.5456661898108991,-0.9678165199529273,-0.19216866908047603,0.10048792730360084,Could need help
2,Algeria,-0.23981116518680437,0.48107648711794115,-0.9844451197873273,0.13266986366022543,-0.443416361717393,Could need help
3,Angola,2.834799459646567,2.014575963190916,0.6245682315283271,0.07028746481916551,-0.6169578311466504,Need help
4,Antigua and Barbuda,-1.0090928319274635,0.10699149601378348,-0.5718099182691615,-0.09044518009572045,-0.16345592165128423,Could need help
5,Argentina,-0.6426360237579654,-1.0020527092663138,-0.4438349164790208,0.3304695018065433,-0.08715435952929634,Could need help
6,Armenia,-0.25087979770598606,-0.13211946485951392,-1.5762417970643017,-0.05465777976741595,0.30585649726351416,Could need help
7,Australia,-1.7807500241447223,-1.0125751997530537,-0.09637961102458314,1.1311301920895178,-0.07542524860451233,Dont need help
8,Austria,-2.335914412936587,-0.9067056690874196,0.9460265584479787,0.28356513243601855,0.10863335504212739,Dont need help
9,Azerbaijan,-0.29827408090662355,0.47342804617548284,-0.17137779721038196,-0.4479385516024436,0.5290340579661794,Could need help
10,Bahamas,-0.9470704092496344,-0.5508864447540752,-0.18737204899913965,0.052450428228006635,0.26543458079792964,Could need help
11,Bahrain,-1.6439709756072436,1.1997549979074567,0.05821361190184408,0.32285613183108297,0.03199160521282314,Dont need help
12,Bangladesh,0.6911336310925327,0.12349472420416441,-1.53468149542937,0.10932980896506868,0.3373698605594846,Could need help
13,Barbados,-1.018531977136491,-0.6019724428478855,-0.3300622517295517,-0.30053412327938767,-0.004119641130646499,Could need help
14,Belarus,-0.8892338220428279,0.3285520150234362,-0.6418424313394953,-0.5265760883276263,0.48919754604030985,Could need help
15,Belgium,-2.3721585632778224,-0.24996698826015984,1.3448420826535936,-0.22281297162719624,-0.2013392748068076,Dont need help
16,Belize,-0.26406891257309995,0.6121281308360782,-0.4962573687238961,-0.6814462439039244,-0.22491975403141332,Could need help
17,Benin,2.809820181355863,0.6623224231617734,-0.06308222176504268,0.4744982647200939,-0.26687661401629775,Need help
18,Bhutan,0.08393162569819976,0.2834403543129144,-0.6886143187435317,-0.38367426236455093,0.07013274924806907,Could need help
19,Bolivia,0.4740818384812346,0.41793868562674696,-0.6245090510588664,-0.22252855224312332,-0.27280832648939407,Could need help
20,Bosnia and Herz.,-1.1985717235228777,-1.7804637271365138,-0.0211587832808444,-0.6399038109851891,0.12531654353262253,Could need help
21,Botswana,0.8976837256547014,-0.18529765277882432,0.7082209346208099,-0.49216275295404854,0.938719186151198,Need help
22,Brazil,-0.5372758084747327,-1.4862089127551423,-0.48589589707973596,0.16408770625866112,0.30151481164572896,Could need help
23,Brunei,-2.5040148476550215,2.163602884461037,0.2849867557232831,1.9976665015271822,0.6362418322894796,Dont need help
24,Bulgaria,-1.0259636042187386,-0.06274351553679296,-0.40927068674338235,-0.5358983421874189,0.22638311415794854,Could need help
25,Burkina Faso,3.17887798506835,-0.04620064692641801,0.6914068041818147,0.40743085930030126,-0.2316255486594603,Need help
