,country,pca1,pca2,pca3,pca4,pca5,pca6,cluster
62,Guatemala,-0.6635031249243216,-0.6139108370318458,-0.3326737413207622,-0.44531709120333474,-0.10050831783475546,-0.346136286607235,Could need help
63,Guinea,-2.969529473372043,0.7285337855948656,0.39103897814355504,0.6665494942048037,-0.19254345666096753,-0.054611983484914646,Need help
64,Guinea-Bissau,-2.8336164728613285,-0.09112819501299882,-1.205173984419319,1.1330448904595407,-0.5509036678178523,0.2491555364995376,Need help
65,Guyana,-0.3227814648557306,1.3613413588025718,-0.4705121575598089,-0.8504554743797508,0.1627714809402028,0.30505860555408393,Could need help
66,Haiti,-4.409717274974032,1.7422304851976296,-1.4628087356695936,1.7935922202224073,-0.9007236231648903,3.14173793447978,Need help
67,Hungary,1.8391601264895332,1.2729649266968381,-0.46263136527587106,-0.7792756934830402,0.39483475493278913,0.30111674058784355,Could need help
68,Iceland,2.480923956777535,-0.6347019259054014,0.10379522586528434,0.9198531499898216,0.11279454808316136,-0.40452351161820543,Dont need help
69,India,-1.34282579477037,-0.5351389457527018,0.46994640613791816,-0.7882938022843357,-0.5202509210749207,0.5189009650972876,Could need help
70,Indonesia,-0.954750123685587,-0.732361786411815,1.3760110446694003,-1.1436878791455067,-0.31604611434011487,0.27373043201004266,Could need help
71,Iran,-0.0010646119252012557,-1.3343495948884068,1.0228051328848256,-0.7545466720171152,0.2891159063031081,0.34332092345746934,Could need help
72,Iraq,-1.0292281606558105,-0.2832693229424985,0.19222681282857715,0.5641405925551514,0.7217121182289833,-0.5466416737501828,Need help
73,Ireland,3.668628044515043,1.7294931689378228,-0.5239887809356187,0.9899746499911527,-0.12332117936234244,-0.366295581085012,Dont need help
74,Israel,1.4853166588896067,-1.0492243637123568,0.07679053413482462,0.3209891787813194,-0.4821965384681068,-0.8289004191177203,Dont need help
75,Italy,2.1658099505088533,-1.7724854795157479,-0.28418353521210676,0.5167118979182749,-0.2914580329969514,0.012767337968302121,Dont need help
76,Jamaica,0.01860930022276286,-0.23896130429128007,0.3337498170622321,-1.2224564533008209,0.17052360509977593,-0.05322548901512238,Could need help
77,Japan,2.265881986853446,-2.4355938335820544,-0.22969866641381295,0.7125662691846526,-0.6725069926918048,-0.001331702309888122,Dont need help
78,Jordan,0.16014264327314748,0.5410651720875428,-0.5575297593133368,-0.37653424338855074,0.7872048799739886,-0.9037153643221725,Need help
79,Kazakhstan,-0.29334649971036963,-0.2375254341072826,1.492426239770679,-0.45307823212658355,0.2196181653381169,0.3380387539849845,Could need help
80,Kenya,-1.874702472780649,-0.17102996726554293,-0.2495570502837827,-0.285554532982075,-0.9762533152391878,-0.17586254449995337,Need help
81,Kiribati,-1.2392168622446311,0.3691384109440404,-2.368273821246679,0.592231024211874,0.7225211186767042,0.19911443055572314,Need help
82,Kuwait,2.465658703483717,0.08804977845740185,2.652268005179514,0.7088844199774136,-1.4037881502640155,0.19482519080477598,Dont need help
83,Kyrgyzstan,-0.33996988019490443,1.2981964120287275,-0.4278609910812232,-0.8173205704595258,0.7220801090410314,-0.16418502769229598,Could need help
84,Laos,-1.5277699460302694,0.5457868911492436,0.13715892824125578,-0.4155819030530966,-0.3194707526420532,0.4516632536163382,Need help
85,Latvia,1.1888398448812436,0.16204003453331547,-0.48825527937149327,-0.9308545359995791,-0.19222136062592987,0.38142288217701625,Could need help
